Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Jorge,61350344,13,44,0,Yes,10260182,8660182,6,0,10,Yes,9873536,8673536,4,0,7,Yes,10203454,8679704,4,0,7,Yes,10905451,8699201,6,0,11,Yes,9400988,8718488,2,0,4,Yes,10706733,8732357,3,0,5
Reizendfalke,46918898,0,7,0,Yes,8464435,7564435,4,0,6,Yes,8068522,7568522,1,0,1,Yes,7569839,7569839,2,0,0,Yes,7603102,7603102,0,0,0,Yes,7604604,7604604,0,0,0,Yes,7608396,7608396,0,0,0
heavydad,60197893,7,15,0,Yes,11001907,9501907,6,0,9,Yes,10501907,9501907,3,0,5,Yes,9502390,9502390,0,0,0,Yes,10185563,9503063,1,0,1,Yes,9503063,9503063,0,0,0,Yes,9503063,9503063,0,0,0
Bortoke Zentra,67861748,15,36,0,Yes,11179476,9979476,6,0,9,Yes,12080120,9980120,7,0,12,Yes,12438647,9982397,6,0,10,Yes,11506683,9982933,3,1,4,Yes,10668712,9986212,2,0,1,Yes,9988110,9988110,0,0,0
Fartwad,60706302,0,26,0,Yes,11503124,9303124,10,0,16,Yes,9308698,9308698,1,0,0,Yes,9814086,9314086,4,0,2,Yes,10122009,9314509,4,1,2,Yes,10176856,9342012,4,0,4,Yes,9781529,9342779,3,0,2
zortar,61128469,21,12,0,Yes,10304674,9704674,2,0,3,Yes,10566963,9716963,3,0,4,Yes,10058213,9716963,1,0,2,Yes,10740815,9717065,2,1,3,Yes,9728902,9728902,1,0,0,Yes,9728902,9728902,0,0,0
Ham,57715218,35,25,0,Yes,10560462,8960462,8,0,13,Yes,9915234,8965234,3,0,5,Yes,8965626,8965626,0,0,0,Yes,8970769,8970769,0,0,0,Yes,9788673,8970079,4,0,4,Yes,9514454,8970079,3,0,3
Laevithin,65353666,15,35,0,Yes,12029606,9729606,10,0,17,Yes,11481140,9731140,5,0,8,Yes,9731140,9731140,0,0,0,Yes,10608038,9733038,3,0,4,Yes,10581246,9736246,3,0,2,Yes,10922496,9736246,5,0,4
Obi Loz,56914517,8,21,0,Yes,9732665,9032665,4,0,7,Yes,9682665,9032665,4,0,6,Yes,9035821,9035821,0,0,0,Yes,9720660,9038160,2,1,4,Yes,9379478,9038228,2,0,2,Yes,9363228,9038228,2,0,2
Lurk Stiefel,66754033,45,52,0,Yes,10884018,9084018,8,0,12,Yes,10934018,9084018,7,0,9,Yes,11699018,9084018,9,0,11,Yes,11363353,9085853,8,0,9,Yes,10613844,9086344,6,0,6,Yes,11259782,9086344,4,0,5
Funglu,55380733,0,16,0,Yes,9894928,8894928,8,0,10,Yes,9280484,8905484,3,0,3,Yes,9156651,8906651,4,0,1,Yes,8907334,8907334,3,0,0,Yes,9232532,8907532,4,0,2,Yes,8908804,8908804,0,0,0
Bino,51148714,15,0,2,Yes,8519720,8519720,0,0,0,Yes,8519720,8519720,0,0,0,Yes,8524411,8524411,0,0,0,Yes,8527278,8527278,0,0,0,Yes,8528299,8528299,0,0,0,Yes,8529286,8529286,0,0,0
Valandil,64809453,37,36,0,Yes,11287217,9587217,7,0,11,Yes,10889212,9589212,5,0,8,Yes,10896174,9622424,3,0,5,Yes,10896351,9622601,3,0,5,Yes,10335584,9622615,3,0,3,Yes,10504915,9629446,4,0,4
Oberon is not Canadian,59939410,32,11,0,Yes,11404690,9704690,8,0,11,Yes,9704690,9704690,0,0,0,Yes,9705092,9705092,0,1,0,Yes,9705316,9705316,0,0,0,Yes,9705442,9705442,0,0,0,Yes,9714180,9714180,1,0,0
Kaladin,43078851,8,47,0,Yes,11398945,8698945,12,0,21,Yes,10999931,8699931,11,0,17,No,1292863,542863,3,0,4,Yes,8706368,8706368,0,0,0,No,0,0,0,0,0,Yes,10680744,8706368,3,0,5
HumanAtrophy,50710545,29,0,0,Yes,8474813,8474813,0,0,0,Yes,8443311,8443311,0,0,0,Yes,8447029,8447029,0,0,0,Yes,8448169,8448169,0,0,0,Yes,8448540,8448540,0,0,0,Yes,8448683,8448683,0,0,0
Ushey,58566327,37,28,0,Yes,10360947,9060947,10,0,10,Yes,10585947,9060947,8,0,10,Yes,9560947,9060947,4,0,3,Yes,9060947,9060947,0,1,0,Yes,9608457,9064082,6,0,3,Yes,9389082,9064082,3,0,2
The MINI Great Bambino,70928132,27,45,0,Yes,11220230,10020230,4,0,6,Yes,11729794,10029794,8,0,12,Yes,12810765,10033265,9,0,11,Yes,11740134,10033884,4,1,7,Yes,12206843,10033405,4,0,5,Yes,11220366,10034116,4,0,4
